timestamp,size,proto,sport,dport,ttl
1765273301.9649627,66,TCP,37038,53,64
1765273301.9664748,66,TCP,53,14919,61
1765273301.9682448,54,TCP,14919,53,64
1765273301.969351,66,TCP,53,37038,61
1765273301.9708056,54,TCP,37038,53,64
1765273301.9719276,56,TCP,14919,53,64
1765273301.9732988,91,TCP,14919,53,64
1765273301.974663,56,TCP,37038,53,64
1765273301.9757416,91,TCP,37038,53,64
1765273301.9769375,60,TCP,53,14919,61
1765273301.9780076,60,TCP,53,37038,61
1765273301.9789972,60,TCP,53,14919,61
1765273301.9804068,60,TCP,53,37038,61
1765273301.9819393,143,TCP,53,14919,61
1765273301.9830248,54,TCP,14919,53,64
1765273301.9840758,109,TCP,53,37038,61
1765273301.9850743,66,TCP,57009,443,64
1765273301.986036,54,TCP,37038,53,64
1765273301.987405,60,TCP,53,14919,61
1765273301.9884467,54,TCP,14919,53,64
1765273301.9893332,60,TCP,53,37038,61
1765273301.9901557,54,TCP,37038,53,64
1765273302.0873263,59,TCP,18099,443,64
1765273302.0885174,385,TCP,18099,443,64
1765273302.0894296,71,TCP,18099,443,64
1765273302.1307085,60,TCP,443,18099,49
1765273302.1326869,60,TCP,443,18099,49
1765273302.1342292,60,TCP,443,18099,49
1765273302.2254875,66,TCP,1402,443,64
1765273302.4435017,66,TCP,1403,443,64
1765273302.445177,66,TCP,1404,80,64
1765273302.6891818,59,TCP,18099,443,64
1765273302.6903594,385,TCP,18099,443,64
1765273302.6911774,71,TCP,18099,443,64
1765273302.7120438,66,TCP,80,1404,39
1765273302.7132165,54,TCP,1404,80,64
1765273302.713982,54,TCP,1404,80,64
1765273302.7329586,60,TCP,443,18099,49
1765273302.7344828,60,TCP,443,18099,49
1765273302.7357836,60,TCP,443,18099,49
1765273302.9686453,66,TCP,57009,443,64
1765273302.9710784,60,TCP,80,1404,39
1765273302.97209,54,TCP,1404,80,64
1765273303.093423,59,TCP,18099,443,64
1765273303.0947738,385,TCP,18099,443,64
1765273303.0958073,71,TCP,18099,443,64
1765273303.137586,60,TCP,443,18099,49
1765273303.1391242,60,TCP,443,18099,49
1765273303.1401126,60,TCP,443,18099,49
1765273303.233441,66,TCP,1402,443,64
1765273303.7007358,59,TCP,18099,443,64
1765273303.7025356,385,TCP,18099,443,64
1765273303.703574,71,TCP,18099,443,64
1765273303.704619,83,UDP,5353,5353,1
1765273303.7062588,337,UDP,5353,5353,1
1765273303.743058,60,TCP,443,18099,49
1765273303.7442617,60,TCP,443,18099,49
1765273303.7453024,60,TCP,443,18099,49
1765273304.1039212,59,TCP,18099,443,64
1765273304.1052582,385,TCP,18099,443,64
1765273304.106449,71,TCP,18099,443,64
1765273304.149021,60,TCP,443,18099,49
1765273304.1507952,60,TCP,443,18099,49
1765273304.152107,60,TCP,443,18099,49
1765273304.5729046,55,TCP,63183,443,64
1765273304.5996604,66,TCP,443,63183,54
1765273304.6656654,1454,TCP,45724,443,64
1765273304.6671977,1454,TCP,45724,443,64
1765273304.6681983,1454,TCP,45724,443,64
1765273304.6690648,1329,TCP,45724,443,64
1765273304.6698446,93,TCP,45724,443,64
1765273304.6707587,343,TCP,45724,443,64
1765273304.7129934,59,TCP,18099,443,64
1765273304.7144353,385,TCP,18099,443,64
1765273304.7159052,71,TCP,18099,443,64
1765273304.7168877,60,TCP,443,45724,52
1765273304.7177489,60,TCP,443,45724,52
1765273304.7185817,60,TCP,443,45724,52
1765273304.7196913,60,TCP,443,45724,52
1765273304.7205336,60,TCP,443,45724,52
1765273304.721271,60,TCP,443,45724,52
1765273304.722864,93,TCP,443,45724,52
1765273304.7565434,60,TCP,443,18099,49
1765273304.758758,60,TCP,443,18099,49
1765273304.7602773,60,TCP,443,18099,49
1765273304.7613177,54,TCP,45724,443,64
1765273304.8949811,394,TCP,443,45724,52
1765273304.8968604,101,TCP,443,45724,52
1765273304.8978758,85,TCP,443,45724,52
1765273304.898891,54,TCP,45724,443,64
1765273304.8999672,89,TCP,45724,443,64
1765273304.9727924,66,TCP,28944,443,64
1765273304.9741492,1466,TCP,20210,443,64
1765273304.9752412,1466,TCP,20210,443,64
1765273304.9761524,168,TCP,20210,443,64
1765273304.9769363,93,TCP,20210,443,64
1765273304.9779544,66,TCP,57009,443,64
1765273304.9859233,60,TCP,443,45724,52
1765273305.0060287,60,TCP,443,20210,116
1765273305.0078897,93,TCP,443,20210,116
1765273305.0402403,66,TCP,443,28944,115
1765273305.0415702,54,TCP,28944,443,64
1765273305.0428019,1466,TCP,28944,443,64
1765273305.0437562,970,TCP,28944,443,64
1765273305.0559926,54,TCP,20210,443,64
1765273305.1084576,60,TCP,443,28944,115
1765273305.1098437,60,TCP,443,28944,115
1765273305.1169794,59,TCP,18099,443,64
1765273305.1183412,385,TCP,18099,443,64
1765273305.1194012,71,TCP,18099,443,64
1765273305.131001,1466,TCP,443,28944,115
1765273305.1326394,132,TCP,443,28944,115
1765273305.1335604,54,TCP,28944,443,64
1765273305.1344693,144,TCP,28944,443,64
1765273305.135666,146,TCP,28944,443,64
1765273305.1365771,1466,TCP,28944,443,64
1765273305.1374583,1249,TCP,28944,443,64
1765273305.1382103,93,TCP,28944,443,64
1765273305.1692863,60,TCP,443,18099,49
1765273305.1708326,60,TCP,443,18099,49
1765273305.1718144,60,TCP,443,18099,49
1765273305.1946716,66,TCP,33308,443,64
